;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;123;123;143;123;123;143;123;143;143;143;143;123;143;143;143;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;174;174;10;10;174;174;174;174;174;174;174;174;174,10;174;174;174,285;123;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;123;123;123;174;174;174;174;10;174;174;174;12;13;174;174;174;174,10;174;174;174,305;174,285;174,285;123;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;174,286;174,286;174,286;174,286;174;174;174;174;174;174;174;174;174;32;33;174;174;174;174,10;174;174;174;174,305;174,305;174,285;123;123;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;123;174;174;174;174;174;174;174;174;174;174;214;174;174;52;53;174;174;174;174;174;174;174;174;174;174,305;174;174;174;123;123;;;;;;;;;;;;;;;;;;;123;123;123;123;123;123;123;123;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;214;150;125;126;126;126;126;126;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;123;123;123;123;123;123;123;123;174;174,305;10;174,305;10;174;174,163;174,163;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;215;215;215;214;174;174;174,286;174,286;174,286;174,305;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;123;123;123;174,305;174,305;162,305;10;174;174;174;174;174;10;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;215;215;215;215;215;215;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;;;;;;123;123;214;215;174;174;174;10;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;143;143;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;183;183;183;183;183;183;215;215;215;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;123;123;131;214;215;174;174;174;10;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;123;123;123;123;163;174,285;174,285;174,285;174,286;174,286;163;126;126;126;126;126;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;123;214;214;214;215;174;174;174;174;174;174;174;174;126;126;126;126;126;126;174;174;174;174;174;174;174;174;123;;;;;;;;;;;;;;;;;;;;;;;123;123;214;91;214;91;214;91;214;215;162;162;162;162;162;174;162,20,215,174;162,20,215;162,215;162,20,215;162,20,215;174,162,286,215;123;123
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;143;143;143;143;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;215;215;215;215;174;174;174;174;174;174;174;174;174;174;174,304;174,304;174,304;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;123;11;214;11;214;11;214;11;214;214;215;174;174;174;174;215;15;16;16;16;17;215;14;123
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;123;123;174;174;174;174;174;174;174;215;174;174;174;123;123;123;123;123;123;123;123;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;123;123,174;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;;;;;;;;;;;;;;;;;;;;;;123;31;215;31;215;31;215;31;215;214;215;174;174;174;174;215;35;36;36;36;37;215;34;123
;;;;;;;;;;;;;;;;;;;;;;;;;123;123;143;123;143;123;123;123;174;174;174;174;174;174;174;215;215;214;215;174;123;123;123;123;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;123;123;123;123;123;123;123;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;126;126;126;126;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;214;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;123;51;194;31;194;31;194;31;194;194;194;174;174;174;174;215;55;90;56;90;174,57;215;54;123
;;;;;;;;;;;;;;;;;;;;;;123;123;123;123;174;174;215;174;174;174;174;174;174;174;174;174;174;174;215;214;90;214;123;123;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;143;123;123;123;123;123;123;174,286;174,286;174,286;174,286;174;174;174;174,305;174,305;174;174;174;174;174;174;174;174;174;174;174;174;174;183;123;123;123;123;174;174;174;174;174;174;174;174;174;123;123;123;123;123;123;131;214;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;123;123;138;51;194;51;194;51;194;194;194;194;174;174;174;215;75;110;#76;110;77;215;123;123
;;;;;;;;;;;;;;;;;;;143;143;143;143;174;174;174;174;215;214;215;174;174;174;174;174;174;174;174;174;215;215;214;110;123;123;123;123;123;123;123;123;123;123;123;123;143;143;143;143;123;123;123;123;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;183;183;123;123;143;123;123;123;123;123;174;174;174;174;174;174;174;174,305;174,305;174,305;10;174;214;215;215;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;123;123;123;123;123;123;123;183;126;126;174;174;174;174;183;183;183;183;183;183;183;123;
;;;;;;;;;;;;;;;;123;123;123;123;174;174;174;174;174;174;215;214;91;214;215;174;174;174;174;174;174;174;123;123;123;123;123;123;123;174;174;174;174;174;174;123;123;123;123;123;143;143;123,174;123;174;10;162;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;126;126;126;126;126;126;126;126;123;123;143;143;143;143;143;123;123;123;174;174;174;174;174;174;174;174;174;174;10;174;215;215;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;;;;;123;174,286;174,286;174;174;174;174;123;122;122;122;122;122;122;122;
123;123;123;123;123;123;143;143;143;143;123;123;123;123;123;123;123;214;174;174;214;174;174;174;174;174;215;215;214;215;215;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;123;174;174;10;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;123;123;123;123;123;143;143;143;143;143;143;143;143;143;143;143;123;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;;;;123;174;174;174;174;126;126;123;;;;;;;;
123;174,165,307;174,166;174;174;172;173;174;174;174;214;132;214;214;132;214;214;132;214;214;132;214;174;174;174;174;174;215;214;215;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;215;214;150;123;123;123;174;214;30;214;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174,163;174,163;123;123;123;143;143;143;143;143;143;143;143;143;143;143;143;143;143;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;;;;;;;;;;;;;;;;;;;;;;;;;123;174;174;174;174;174;174;123;;;;;;;;
123;78;79;174;174;192;193;174;174;214;214;11;214;214;11;214;214;11;214;214;11;214;214;174;174;174;174;174;174;123;123;183;183;183;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;215;214;215;215;174;215;214;91;214;215;174;174;174;174;174;174;123;123;143;143;123;123;174;174;174;174;174;174;174;174;174;123;123;143;143;143;143;143;143;143;143;143;143;143;143;123;123;123;123;126;123;126;126;126;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;;;;123;126;126;174;174;174;174;123;123;123;123;123;123;;;
123;98;99;194;215;174;174;174;214;214;214;31;214;214;31;214;214;31;214;214;31;214;214;174;174;174;174;174;123;123;122;122;122;122;122;122;143;174;174;174;174;174;174;174;174;174;174;125;126;126;126;174;174;174;174;215;174;174;174;215;215;214;215;215;174;174;174;174;174;214;215;174,305;174,305;174,305;174,286;174,286;174;174;174;174;174;174;174;174;174;123;123;123;143;143;143;143;143;143;143;143;143;143;131;174,284,307;174,166;123;123;174,163;174,163;174,163;174;174;174;174;174;126;126;126;126;126;126;174;174;174;174;174;123;;;;;;;;;;;;;;;;;;;;;;;;123;174;174;174;174;174;174;174;174;174,163;174,163;11;123;;;
123;118;119;214;214;215;174;174;215;215;215;31;215;215;31;215;215;31;215;215;31;215;215;174;174;174;174;123;123;;;;;;;;143;143;143;123;123;174;174;174;174;174;174;174,163;174,163;174,305;174,305;174;174;174;174;174;174;174;174;174;215;214;215;126;126;126;126;126;126;130;214;215;174;215;215;174;174;174;174;174;174;174;174;174;174;174,305;123;123;123;143;143;143;143;143;143;143;143;10;214;174,284;174,166;174;174;174;174;174;174;174;174;174;174;174;174;174,305;10,305;174,305;174;174;174;174;174;174;123;123;123;;;;;;;;;;;;;;;;;;;;;;123;174;174;174;174;174;174;174;174;174;174;51;123;;;
123;143;143;90;214;194;174;174;174;194;194;31;194;194;31;194;194;31;194;194;31;194;194;174;174;174;123;123;;;;;;;;;;;;;123;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;215;174;174;174,163;174,163;174,163;174;174;214;215;215;174,215;214;214;215;174,162;174,162;174;174;174;174;174;174;174;174;123;123;123;143;143;143;143;143;143;143;123;30;214;174,284;174,166,307;174;174;174;174;174;174;174;174;174;174;174;174;174;30;174;174;174;174;174;174;174;174;174;123;123;;;;;;;;;;;;;;;;;;;;;123;174;174;174;126;126;126;183;183;183;183;183;123;;;
;123;143;110;139;140;139;140;162,170;195;195;51;195;195;51;195;195;51;195;195;51;195;195;174;174;123;123;;;;;;;;;;;;;;123;123;123;123;123;174;174;174;174;174;174;174;174;174;123;143;143;143;143;123;174;174;174;174;174;174;174;174;215;215;174;174;214;91;91;214;215;174;174;174;174;174;174;174;174;174;123;123;123;123;123;143;143;143;143;123;123;123;194;174,304;174,305;174;174;174;174;174;174,123;123;123;123;123;123;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;123;;;;;;;;;;;123;123;123;123;123;123;123;123;123;174;174;174;174;174,163;174,163;123;122;122;122;122;122;;;
;;123;123;123;123;123;123;123;123;123;143;143;123;123;123;143;143;143;123;123;123;123;123;123;123;;;;;;;;;;;;;;;;;;;123;123;174;174;174;174;174;174;174;174;174,305;174,305;174,286;174,286;174;10;174;174;174;174;174;174;174;174;174;174;174,162;215;215;214;214;215;174;174;174;174;174;174;174;174;174;174;174,286;123;123;123;123;123;123;123;123;123;143;143;143;194;194;174;174;174;174;174;174;174;174;174;174,163;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;123;123;123;;;;;;;;123;123;215;174,163;174,163;123;123;123;123;123;174;174;174;174;174;174;123;;;;;;;;
